Time: 8.565000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.580000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.595000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.610000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.625000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.640000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.655000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34894] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.670000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.685000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.700000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.715000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.730000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.745000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.760000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.775000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.790000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.805000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.820000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.835000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.850000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.865000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.880000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.895000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.910000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.925000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.940000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
Time: 8.955000 Joint Angle [ 0.07437,  0.54446,  0.25711, -1.48739, -0.13301,  1.12280,  0.34895] R des[-1.00000,  0.00000, -0.00000][-0.00000,  1.00000, -0.00000][ 0.00000, -0.00000, -1.00000]
